Distance;Elapsed Time;Elevation High;Elevation Gain;Weekday;Bike Type
2,51;431;345,6;18,0;Monday;
35,93;6166;388,6;139,0;Monday;trecking bike
34,79;5491;335,4;123,0;Wednesday;
40,63;8247;468,6;608,0;Sunday;trecking bike
16,88;2792;12,4;34,25;Wednesday;race bike
35,67;6376;1902,4;743,0;Saturday;race bike
34,61;5120;310,1;143,35;Wednesday;
12,22;2529;888,8;312,0;Wednesday;race bike
29,39;4429;495,0;405,0;Monday;
35,25;5999;328,6;162,0;Wednesday;trecking bike
219,32;45073;2445,2;4838,0;Friday;race bike
35,31;4928;310,0;112,37;Friday;
35,34;5935;389,4;147,0;Monday;trecking bike
47,01;7193;482,4;562,0;Saturday;
30,14;4860;493,8;431,0;Saturday;race bike
24,97;3750;476,4;362,0;Tuesday;race bike
36,66;5862;200,6;147,0;Wednesday;trecking bike
76,81;13140;643,7;1155,46;Sunday;
15,13;4377;385,0;239,0;Sunday;trecking bike
6,57;1619;15,0;17,23;Sunday;race bike
102,42;20286;638,8;1285,0;Thursday;
36,67;5719;363,4;139,0;Tuesday;trecking bike
37,31;5796;64,6;140,0;Tuesday;trecking bike
34,64;4771;282,2;139,0;Tuesday;trecking bike
106,03;19165;642,2;1256,0;Sunday;race bike
35,32;5391;309,6;59,7;Friday;
34,93;5685;331,0;175,0;Wednesday;trecking bike
100,55;15657;565,2;1031,0;Sunday;race bike
73,39;11640;794,0;931,0;Sunday;race bike
33,31;4577;397,2;304,0;Saturday;race bike
35,02;5415;313,2;116,0;Monday;race bike
34,91;5965;416,2;182,0;Tuesday;trecking bike
10,65;2250;408,0;234,0;Tuesday;mtb
51,33;8364;337,4;217,0;Friday;race bike
34,89;4897;497,6;486,0;Tuesday;race bike
127,56;27549;507,0;1828,0;Tuesday;race bike
36,01;6050;332,6;123,0;Friday;trecking bike
40,61;6228;499,0;736,02;Sunday;race bike
74,58;11019;555,2;665,0;Sunday;race bike
31,39;5010;488,4;445,0;Sunday;race bike
16,28;2568;391,0;224,0;Sunday;
22,99;4461;451,6;224,0;Wednesday;race bike
28,57;5165;503,6;495,27;Saturday;race bike
52,17;7433;512,8;738,0;Sunday;
50,62;7303;477,0;586,0;Sunday;race bike
10,05;2369;389,0;226,0;Thursday;mtb
10,55;2424;8,2;13,8;Wednesday;mtb
8,43;2164;510,2;188,0;Sunday;
46,98;7309;491,6;584,0;Sunday;race bike
31,51;4879;493,4;409,0;Friday;race bike
17,27;3056;-120,6;190,0;Tuesday;mtb
208,89;37167;751,2;3606,0;Sunday;
50,13;8654;561,4;578,0;Sunday;race bike
34,89;5332;321,0;119,0;Tuesday;trecking bike
10,08;2595;384,0;207,0;Thursday;mtb
35,16;5044;491,0;489,0;Sunday;race bike
34,89;5626;318,0;122,0;Wednesday;trecking bike
15,64;3246;295,0;210,0;Monday;mtb
34,79;5267;309,1;71,69;Monday;
41,4;5909;483,6;546,0;Sunday;race bike
46,13;6665;496,2;585,0;Sunday;race bike
35,64;5544;335,0;111,0;Friday;trecking bike
13,79;2207;395,4;116,0;Monday;
36,54;5582;499,0;466,0;Sunday;race bike
25,3;4642;405,6;280,0;Sunday;trecking bike
